"Name1";"Name2";"Category";"Time"
"Weber, Andreas";"Siefert, Thomas";"Youngster";"11:34.3"
"Staats, Jonas";"Staats, Leo";"Youngster";"11:35.7"
"Schicke, Kevin";"Hirrich, Ben";"Youngster";"11:37.1"
"Schneckenhaus, Daniel";"Hellfritsch, Michael";"Oldies";"11:37.4"
"Schuster, Louis";"Müller, Jonas";"Youngster";"11:39.7"
"Marscheider, Dirk";"Blecks, Monty";"Youngster";"11:40.4"
"Franke, Felix";"Bartel, André";"Youngster";"11:40.4"
"Seidlitz, Leander";"Kresse, Paul";"Youngster";"11:41.3"
"Nordmann, Daniel";"Rimkus, Raffael";"Youngster";"11:43.7"
"Steinert, Bruno";"Schnür, Nico";"Youngster";"11:44.2"
"Tönges, Alexander";"Friedrich, Anderas";"Youngster";"11:44.7"
"Wallfaß, Marcel";"Köster, Christian";"Oldies";"11:45.0"
"Kade, Anett";"Meyne, Nicole";"Youngster";"11:45.4"
"Langguth, Max";"Lehmann, Marcel";"Ladies";"11:46.5"
"Kahl, Markus";"Kahl, Dominik";"Youngster ";"11:46.5"
"Rödel, Felix";"Kant, Sebastian";"Mix";"11:46.8"
"Reinhardt, Jana";"Kunze, Martin";"Youngster";"11:47.1"
"Mohr, Simon";"Müller, Sabrina";"Mix";"11:48.1"
"Matzat, Stephan";"Matzat, Toni";"Oldies";"11:48.6"
"Arnold, Jan-Erik";"Stieglmayr, Dennis";"Youngster";"11:49.1"
"Schulz, Rüdiger";"Altenhövel, Stefan";"Oldies";"11:51.1"
"Glanz, Henry";"Ferneschild, André";"Oldies";"11:51.9"
"Brandes, Max";"Bockstede, Annalena";"Mix";"11:53.0"
"Behnke, Marco";"Tretjakov, Ilja";"Youngster";"11:54.8"
"Vogt, Jürgen";"Fuhrmann, Dirk";"Oldies XL";"11:55.8"
"Wezel, Harald";"Petermann, Gerd";"Oldies XL";"11:57.1"
"Stockholm, Lars";"Petersen, Carsten";"Oldies XL";"11:57.2"
"Schulz, Robert";"Passek, Svenja";"Youngster";"11:59.0"
"Bergmann, Freddy";"Bahnson, Chrisstoffer";"Oldies XL";"12:00.0"
"Euchler, Moritz";"Winkler, Damon";"Youngster";"12:05.2"
"Bringtoft, Benjamin";"Kleisberg, Kristian";"Youngster";"12:06.4"
"Hentschel , Felix";"Lemm, Matthias";"Youngster";"12:07.6"
"Hofmann, Henrik";"Engel, Jens";"Oldies";"12:08.1"
"Schild, René";"Berg, Alexander";"Youngster";"12:09.3"
"Klemm, Britta";"Gohde, Stefan";"Mix";"12:11.8"
"Schenk, Thomas";"Ziesch, Robert";"Oldies";"12:12.1"
"Westerfeld, Gianluca";"Schleusser, Alexander";"Youngster";"12:12.2"
"Tiemann, Julia";"Stanggassinger, Christ";"Mix";"12:16.3"
"Håkansson, André";"Jørgensen, Kim J";"Oldies";"12:17.2"
"Hoffmann, Tim";"Wilhelm, Andreas";"Youngster";"12:17.3"
"Krüßel, Katharina";"Kunert, Daniel";"Mix";"12:17.5"
"Esfeld, Martin";"Seifferth, Christian";"Mix";"12:19.1"
"Schumann-Näther, Ulri";"Klingler, Sebastian";"Mix";"12:19.6"
"Juhnke, Sarah";"Schilling, Lucas";"Oldies XL";"12:19.9"
"Henrichs, Frank";"Hüwels, Matthias";"Youngster";"12:20.0"
"Papuc, Eugeniu";"Baroni, Michaelangel";"Oldies";"12:21.7"
"Schelle, Patrick";"Heinold, Thomas";"Oldies XL";"12:24.9"
"Albert, Thomas";"Juhnke, Torsten";"Mix";"12:26.0"
"Lebeda, Kevin";"Colberg, Svenja";"Youngster";"12:26.7"
"Kölblin, Armin";"Kurz, Sebastian";"Oldies XL";"12:28.5"
"Cymara, Hardy";"Eckardt, Holger";"Youngster";"12:29.0"
"Zwanzig, Tobias";"Sägebrecht, Michael";"Youngster";"12:30.1"
"Riemann, Mario";"Dreier, Dominic";"Oldies";"12:32.6"
"Ortlepp, Sven";"Bossig, Christian";"Oldies";"12:52.9"
"Nilsson, Mika";"Saira, Olli";"Oldies";"12:53.5"
"Schüler, Alexander";"Hellert, Una";"Mix";"12:55.5"
"Kulhawy, Antonia";"Sonnenberg, Rebea";"Ladies";"13:03.2"
"Richter, Patrick";"Brocker, Viola";"Mix";"13:04.4"
"Koch, Sebastian";"Gerken, Bianca";"Mix";"13:04.5"
"Stein, Moritz";"Feuerhack, Simon";"Youngster";"13:04.7"
"Schmock, Florian";"Schulz, Paul";"Youngster";"13:05.3"
"Yildiz, Marvin";"Ide, Tobias";"Youngster";"13:07.9"
"Freise, Florian";"Pommerening, Maria";"Mix";"13:08.0"
"Saari, Antti";"Kuusela, Olli";"Oldies";"13:08.4"
"Noß, Maximilian";"Vergin, Mikolaj";"Youngster";"13:12.5"
"Dobslaw, Alexander";"Mäder, Adrian";"Oldies";"13:13.0"
"Leschke, Sebastian";"Butze, Phillip";"Youngster";"13:13.1"
"Humml, Steve";"Weber, Michael";"Youngster";"13:13.1"
"Schröder, Marc";"Roth, Sascha";"Oldies";"13:15.8"
"Jubel, Jan-Philipp";"Engelhardt, Eddie";"Youngster";"13:18.0"
"Epler, Cedric";"Bartelt, Djonah";"Youngster";"13:24.7"
"Schmidt, Tim";"Röthling, Christian";"Youngster";"13:26.5"
"Keßler, Tobias";"Kulowatz, Lars";"Youngster";"13:28.5"
"Schulz, Alexander";"Jennrich, Isabell";"Mix";"13:29.4"
"Omezzolli, Mauro";"Chierichetti, Nicolo";"Youngster";"13:30.2"
"Drews, Steffen";"Orfert, Maurice";"Youngster";"13:30.9"
"Fehlandt, Marco";"Fehlandt, Tim";"Youngster";"13:31.4"
"Süßenbach, Jan";"Rüter, Simon";"Youngster";"13:34.6"
"Thees, Tobias";"Porst, Jonathan";"Youngster";"13:35.2"
"Mattila, Nenna";"Lindqvist, Paula";"Ladies";"13:35.5"
"Anders, Sebastian";"Penk, Manfred";"Youngster";"13:35.8"
"Sierth, Lion";"Sierth, Jason";"Youngster";"13:37.0"
"Hirsch, Martin";"Hirsch, Andreas";"Oldies XL";"13:44.4"
"Heinrich, Oliver";"Klatte, Jennifer";"Mix";"13:44.5"
"Kersten, Christin";"Ziegler, Erik";"Mix";"13:45.2"
"Schwartz, Ole";"Brøgger, Niels";"Oldies XL";"13:46.0"
"Langner, Tom";"Halbenz, Michael";"Youngster";"13:49.3"
"Hilger, Marvin";"Apel, Markus";"Oldies";"13:50.1"
"Perleberg, Knut";"Mewes, Steffen";"Oldies";"13:51.0"
"Inki, Eetu";"Hurme, Tuukka";"Youngster";"13:57.7"
"Schmidt, Melanie";"Lange, John-Paul";"Mix";"13:58.8"
"Strenge, Bruno";"Fischbuch, Alexander";"Youngster";"14:09.6"
"Rahneberg, Marcel";"Schulz, Rayko";"Oldies";"14:10.1"
"Thiele, Florian";"Morris, John";"Youngster";"14:15.0"
"Dienemann, Lea";"Hopstock, Sven";"Mix";"14:15.8"
"Palk, Josef";"Dreikorn, Johannes";"Oldies XL";"14:22.8"
"Plobner, Marie";"Kunze, Florian";"Mix";"14:23.4"
"Schmudlach, Lars";"Specht, Thomas";"Oldies";"14:26.0"
"Haagen, Jan";"Fedde, Martin";"Oldies";"14:27.0"
"Reuther, Felix";"Prill, Stephan";"Youngster";"14:28.7"
"Jungbauer, Martino";"Gottschalk, Sarah";"Mix";"14:28.8"
"Lohß, Ronny";"Haacke, Norman";"Oldies";"14:32.7"
"Stürmer, Marvin";"Jessen, Sebastian";"Youngster";"14:33.0"
"Niemecki, Rene";"Auerbach, Martin";"Oldies";"14:34.1"
"Leiters, Lena";"Romey, David";"Mix";"14:36.6"
"Ludziarczyk, Karolina";"Kubaczka, Adam";"Mix";"14:37.0"
"Ludwig, Dominik";"Scholz, Christian";"Youngster";"14:38.4"
"Minke, Anja";"Behrns, Niklas";"Mix";"14:42.7"
"Korczyk, Milena";"Korczyk, Kevin";"Mix";"14:49.3"
"Lünse, Nico";"Meding, Tom";"Youngster";"14:49.7"
"Jensen, Rene Skov";"Berger, Jan";"Oldies XL";"14:58.1"
"Schneider, Jacqueline";"Bubner, Chiara";"Ladies";"15:03.8"
"Türk, Florian";"Rud, Allison";"Mix";"15:05.5"
"Forbrich, Christian";"Glöck, Juliane";"Mix";"15:06.1"
"Vahle, Sören";"Prüser, Marcel";"Youngster";"15:06.7"
"Balbierer, Pauline";"Andres, Laura";"Ladies";"15:08.1"
"Hinsche, Benjamin";"Hey, Lena";"Mix";"15:23.6"
"Schmitt-Schönberg, Ch";"Schönberg, Patricia";"Mix";"15:25.1"
"Macieczyk, Robert";"Rybarczyk, Jens";"Youngster";"15:29.3"
"Große, Steffen";"Grähn, Steve";"Youngster";"15:34.9"
"Gareiß, Jannik";"Steiner, Celine";"Mix";"15:37.8"
"Abel, Jennifer";"Langheinrich, Markus";"Mix";"15:48.2"
"Eibisch, Emma";"Müller, Isabell";"Ladies";"15:49.9"
"Jahn, Jens";"Lemke, Sven";"Youngster";"15:52.1"
"Brodbeck , Michael";"Kuhn, Andreas";"Oldies";"15:52.8"
"Schulz, Maik";"Voigt, Eric";"Oldies";"16:02.1"
"Wild, Daniela";"Kleemeier, Rene";"Mix";"16:07.0"
"Voelzke, Maximilian";"Nowak, Martin";"Youngster";"16:12.9"
"Tuchbreiter,Nicole";"Kohl, Enrico";"Mix";"16:44.9 "
"Becker, Stefan";"Lückert, Katrin";"Mix";"16:46.6 "
"Cetto, Simone";"Nardon, Georgia";"Mix";"16:55.3 "
"Jörgensen, Tim";"Kleinert, Philipp";"Youngster";"17:01.3 "
"Heinrich, Sebastian";"Baumann, Matthias";"Youngster";"17:24.8 "
"Laaser, Jean-Pierre";"Schramm, Lucas";"Youngster";"17:31.4 "
"Budau, Michaela";"Schönfeldt, Thorsten";"Mix";"17:33.8 "
"Ludwig, Kim";"Dillan, Marcel";"Mix";"17:37.2 "
"Engel, Laura";"Stein, Solwiga";"Ladies";"17:59.4 "
"Volke, Madlen";"von Chamier, Kay";"Youngster";"18:29.6 "
"Matthes, Fabian";"Meißner, Lea Sophie";"Mix";"18:30.3 "
"Tinnefeld, Klaus";"Kuhlmann, Axel";"Oldies XL";"18:59.3 "
"Kosziow, Dominique";"Semper, Franz";"Mix";"19:12.0 "
"Wolter, Katrin";"Klesse, Enrico";"Mix";"20:00.7 "
"Gottwald, Samantha";"Fehlandt, Janina";"Ladies";"24:23.2 "
"Jenß, Kay";"Palm-Wendt, Birgit";"Mix";"26:26.6 "
