Rnk;No;Team;Name 1;Name 2;Nat;Time;Difference;Category;Age Group
198;68;Gestiefelter Muskelkater;PAUL Emma;NOLL Sidney;GER;14:25.970;+8:49.560;MIX;
199;236;Feuerwehr Schriesheim;BRAND Dominik;SCHMITT Tobias;GER;14:36.800;+9:00.390;M;Männer
200;203;Feuerwehr Artern 3;HöCHE Marcel;SCHWALKE David;GER;14:40.970;+9:04.560;M;Männer
201;225;Feuerwehr Klipphausen 2;MARTIN Johannes;WEBER Jörgen;GER;14:43.870;+9:07.460;M;Männer
202;170;Austrian Firefigther;ALFANZ Jürgen;LEITENBAUER Konstantin;AUT;14:55.160;+9:18.750;M;Männer
203;141;Atemnot;HOMEYER Lars;KRÖSCH Tobias;GER;15:19.080;+9:42.670;M;Männer
204;64;BwF7;JäGER Rune;NAVE Sebastian;GER;15:21.600;+9:45.190;M;Männer 80
205;96;Firefighter Stair Climb 3 NL;HUIZINGA, Gjalt;SPLINTER, Kees;NED;15:31.450;+9:55.040;M;Männer
206;157;Feuerwehr Ottweiler;WEHRMANN Jennifer;WEIßMANN Lucas;GER;15:33.850;+9:57.440;MIX;
207;187;Feuerwehr Schmellwitz;APEL Markus;HILGER Marvin;GER;15:41.130;+10:04.720;M;Männer 80
208;121;FFW Allendorf/Lumda;HEIDER Silke;HEIDER Jannis;GER;15:55.870;+10:19.460;MIX;
210;216;Team KaRo firefighter;LANGBEIN Ronny;NENDZIAK Karsten;GER;16:20.220;+10:43.810;M;Männer
211;101;GF vs. ZF;HILPERT Anke;WEIPRECHT Michael;GER;16:26.420;+10:50.010;MIX;
213;37;Hartha 5;WINKLER Anne;FICHTNER Tim;GER;17:00.930;+11:24.520;MIX;
214;209;Firebuddies;KAISER Anja;SCHäFER Yvonne;GER;17:46.040;+12:09.630;W;
215;49;Tönningstedt 1;ZIMMERMANN Maj-Britt;SENSEN Jonas;GER;17:52.950;+12:16.540;MIX;
216;71;Peine Ladies;KULHAWY Antonia;SONNENBERG Rebea;GER;18:07.660;+12:31.250;W;
217;114;Frauenpower Seukendorf;BOHUN Jasmin;TUCHBREITER Nicole;GER;18:32.940;+12:56.530;W;
218;1;Bob & Phil;BLAU Phillip;JÜLICH Marcel;GER;18:42.430;+13:06.020;M;Männer
