Name;Duration
Andres, Laura / Späth, Sven;12:53.0
Schlonsak, Uwe / Schlonsak, Paul;12:54.4
Schafhaupt, Ralf / Domansky, Christian;12:55.6
Sauermann, Ramona / Sauermann, Tobias;12:58.7
Lode, Martin / Handro, Karsten;12:59.2
Grewe, Artur / Tix, Andreas;13:04.7
Funk, André / Elsig, Oliver;13:07.0
Lehn, Andreas / Hagemann, Niclas;13:07.8
Schwartz, Ole / Bröger, Nils;13:08.2
Rödel, Felix / Schaden, Lea;13:08.9
Stürmer, Marvin / Jessen, Sebastian;13:11.8
Westerfeld, Gianluca / Schleusser, Alexander;13:15.6
Schmidt, Tim / Röthling, Christian;13:16.2
Hohenstein, Fabian / Rud, Allison;13:18.0
Kalowsky, Sabrina / Asseng, Emil;13:19.5
Nelles, Daniel / Jörgensen, Tim;13:27.5
Steindorf, Konstantin / Stein, Paul;13:28.0
Korczyk, Milena / Korczyk, Kevin;13:28.3
Gaas, Thorsten / Conrad, Kenny;13:30.0
Rathsmann, Florian / Dau, Stephan;13:32.4
Mindrup, Bernhard / Meyer, Florian;13:32.9
Lindner, Frank / Füting, Dirk;13:34.5
Kromer, Andreas / Drudowsky, Oliver;13:34.6
Vanauer, Tom / Nehrenst, Nancy;13:36.0
Stanley, Jan / Gustafsson, Ann-Mari;13:36.0
Till, Sebastian / Dietrich, Florian;13:38.2
Håkansson, André / Jørgensen, Kim J;13:42.9
Schenk, Thomas / Johanson, Sören;13:43.6
Reuther, Felix / Krechting, Janis;13:44.5
Hilger, Marvin / Apel, Markus;13:48.3
Ludwig, Dominik / Scholz, Christian;13:52.5
Rust, Dennis / Kärgel, Philipp;13:53.1
Hoffmann-Timmol, Morten / Berger, Jan;13:54.5
Baumann, Jan / Kohnen, Saskia;14:01.4
Wiese, Fabian / Wolter, Finn;14:02.6
Hirsch, Martin / Hirsch, Andreas;14:08.6
Gerling, Roy / Gerling, Nick;14:09.3
Haacke, Norman / Lohß, Ronny;14:11.6
Langguth, Max / Kraft, Marcel;14:13.5
Virtanen, Ville / Mustajoki, Lauri;14:18.2
Schwesinger, Christian / Fröbel, Sebastian;14:21.5
Becher, Julian / Mareen, Joyce;14:27.6
Lemke, Christian / Kröhling, Jan;14:30.7
Henning, Hans / Haagen, Jan;14:34.4
Inki, Eetu / Hurme, Tuukka;14:43.8
Zahn, Laura / Laske, Benjamin;14:45.8
Große, Steffen / Lauterbach, Ina;14:59.4
Kuhlmann, Axel / Tinnefeld, Klaus;15:07.2
Jensen, Rene Skov / Ottosen, Dennis;15:15.8
Minke, Anja / Nguyen, Nick;15:20.1
Lehmann, Janine / Dillan, Marcel;15:31.4
Fehlandt, Janina / Gottwald, Samantha;15:34.6
Hampl, Martin / Rùženec, Adam;15:52.5
Lückert, Katrin / Becker, Stefan;15:55.4
Hildebrandt, René / Meissner, Susanne;16:10.6
Hegazi, Akram Mathias / Niewöhner, Bastian;16:12.0
Erichsen, Maybrit / Scheppke, Robin;16:52.8
Fleerkortte, Mario / Beck, Nicole;17:27.1
Wolter, Katrin / Klesse, Enrico;20:28.7
